"cmaca","year","cases","recips","depchld"
"940",1995,23474,45147,18065
"940",1996,22594,43096,17056
"940",1997,21103,38757,14816
"940",1998,20201,36262,13501
"940",1999,19353,34204,12594
"940",2000,19374,33747,12207
"940",2001,18903,32947,11847
"940",2002,16778,28706,10145
"940",2003,14110,23504,7796
"940",2004,13767,21777,6740
"940",2005,13516,20856,6103
"940",2006,12871,19337,5240
"940",2007,14155,20783,5307
"940",2008,15731,22892,5608
"940",2009,18497,27512,7064
"940",2010,20184,29833,7704
"940",2011,21007,30770,7870
"940",2012,21215,30608,7639
"940",2013,21976,31738,7903
"940",2014,22076,31775,7778
"940",2015,22672,32501,7862
"940",2016,23528,33893,8361
"940",2017,24569,35393,8727
"940",2018,25579,36566,8807
"940",2019,25976,37011,8920
"940",2020,26760,37570,8751
"940",2021,26489,36776,8244
"940",2022,27444,37901,8546
"940",2023,28214,38926,8948
"940",2024,29750,40902,9455
"940",2025,10127,13829,3156
