"cmaca","year","cases","recips","depchld"
"907",1995,14117,24544,9030
"907",1996,13672,23766,8826
"907",1997,12269,20130,6938
"907",1998,11140,18009,5969
"907",1999,10837,17309,5668
"907",2000,10665,16526,5242
"907",2001,11204,17416,5503
"907",2002,9780,14730,4340
"907",2003,8361,11924,3065
"907",2004,7990,11184,2700
"907",2005,7883,10559,2251
"907",2006,7666,10134,2036
"907",2007,8033,10516,2118
"907",2008,8185,10778,2217
"907",2009,9197,12046,2384
"907",2010,9637,12498,2432
"907",2011,9753,12678,2511
"907",2012,9565,12208,2333
"907",2013,9111,11514,2140
"907",2014,8911,11022,1839
"907",2015,8894,10864,1695
"907",2016,9233,11400,1923
"907",2017,9069,11116,1812
"907",2018,9179,11145,1743
"907",2019,9313,11445,1864
"907",2020,9600,12006,2117
"907",2021,9410,11852,2163
"907",2022,9800,12187,2053
"907",2023,9880,12317,2051
"907",2024,10298,12754,2050
"907",2025,3391,4191,670
