"cmaca","year","cases","recips","depchld"
"918",1995,35907,66443,25920
"918",1996,34552,63983,24957
"918",1997,31655,56834,21215
"918",1998,29578,51735,18845
"918",1999,28604,49529,17826
"918",2000,29777,50561,17622
"918",2001,29457,49324,16819
"918",2002,25793,41931,13468
"918",2003,23376,36459,10867
"918",2004,21702,33247,9499
"918",2005,20504,30153,7984
"918",2006,19955,28187,6693
"918",2007,20482,27417,5507
"918",2008,22024,29149,5659
"918",2009,26200,35537,7466
"918",2010,28997,39367,8331
"918",2011,29893,40773,8736
"918",2012,28836,38930,8193
"918",2013,29271,39706,8436
"918",2014,29917,40045,8199
"918",2015,30639,41306,8786
"918",2016,31713,42726,9203
"918",2017,32273,43048,9054
"918",2018,32738,43311,8833
"918",2019,34454,45483,9148
"918",2020,36958,48805,9937
"918",2021,37691,49720,10052
"918",2022,38837,51000,10274
"918",2023,39725,52113,10505
"918",2024,41495,54113,10748
"918",2025,14140,18320,3569
