"cmaca","year","cases","recips","depchld"
"910",1995,9775,17559,6593
"910",1996,9245,16138,5831
"910",1997,9168,15614,5471
"910",1998,9454,15652,5293
"910",1999,9299,14979,4957
"910",2000,9105,14447,4713
"910",2001,8902,13834,4292
"910",2002,7447,11532,3411
"910",2003,6648,9715,2489
"910",2004,6554,9307,2184
"910",2005,6644,9282,2078
"910",2006,6553,8803,1734
"910",2007,6552,8682,1602
"910",2008,6626,8671,1548
"910",2009,7266,9572,1757
"910",2010,7486,9840,1847
"910",2011,7708,9930,1742
"910",2012,7490,9638,1736
"910",2013,7382,9616,1787
"910",2014,7573,9744,1645
"910",2015,7850,10026,1635
"910",2016,8483,11135,2045
"910",2017,8615,11363,2235
"910",2018,9134,11715,2135
"910",2019,9203,11831,2226
"910",2020,9622,12153,2122
"910",2021,9377,11606,1899
"910",2022,9522,11880,2020
"910",2023,9606,11794,1873
"910",2024,10089,12469,2053
"910",2025,3444,4278,715
