"cmaca","year","cases","recips","depchld"
"934",1995,7243,13904,5761
"934",1996,7051,13311,5382
"934",1997,6535,11837,4586
"934",1998,6710,11754,4431
"934",1999,5992,10029,3571
"934",2000,4883,8319,3028
"934",2001,4722,7970,2868
"934",2002,4360,6939,2229
"934",2003,3618,5471,1568
"934",2004,3482,5189,1492
"934",2005,3247,4870,1460
"934",2006,2872,4074,1073
"934",2007,2953,4116,1044
"934",2008,2993,3988,901
"934",2009,3712,5016,1141
"934",2010,4357,5767,1221
"934",2011,5106,6824,1492
"934",2012,5142,6714,1380
"934",2013,5295,6806,1305
"934",2014,5071,6337,1061
"934",2015,4818,6090,1082
"934",2016,4560,5659,934
"934",2017,4553,5796,1070
"934",2018,4615,6172,1368
"934",2019,4849,6580,1537
"934",2020,5229,7005,1563
"934",2021,5168,6790,1441
"934",2022,5396,7123,1549
"934",2023,5825,7616,1607
"934",2024,6395,8162,1638
"934",2025,2233,2825,554
