"cmaca","year","cases","recips","depchld"
"915",1995,80917,151985,60246
"915",1996,74847,142818,57870
"915",1997,67883,123763,47466
"915",1998,62045,109039,39925
"915",1999,60344,103821,36868
"915",2000,61572,104480,36324
"915",2001,62236,103997,35214
"915",2002,54794,86513,26531
"915",2003,47776,72199,20358
"915",2004,45968,66348,16882
"915",2005,44692,62609,14628
"915",2006,43944,59664,12739
"915",2007,46032,60346,11531
"915",2008,49379,64113,11918
"915",2009,63712,84301,16781
"915",2010,73836,98035,19952
"915",2011,75521,100676,20989
"915",2012,72025,94726,18792
"915",2013,69547,90575,17282
"915",2014,69586,89070,15929
"915",2015,70231,89063,15378
"915",2016,73436,93797,16887
"915",2017,74872,95765,17409
"915",2018,75572,95931,17124
"915",2019,80250,102261,18487
"915",2020,86026,110079,20364
"915",2021,87628,111652,20239
"915",2022,92286,117990,21713
"915",2023,97099,125363,23940
"915",2024,104580,135858,26503
"915",2025,36543,47532,9383
