"cmaca","year","cases","recips","depchld"
"938",1995,85759,154225,57865
"938",1996,79377,144020,54577
"938",1997,73028,130021,47840
"938",1998,69948,120963,42709
"938",1999,68945,117138,40288
"938",2000,69221,116565,39725
"938",2001,70454,116468,38468
"938",2002,62851,101517,32467
"938",2003,51685,80978,24425
"938",2004,47871,72512,20653
"938",2005,45386,66499,17692
"938",2006,42943,60350,14174
"938",2007,43943,60667,13429
"938",2008,45937,63136,13874
"938",2009,54278,75202,16751
"938",2010,57611,79087,17468
"938",2011,59120,80734,17767
"938",2012,60112,81698,17838
"938",2013,61013,83040,18072
"938",2014,59094,79194,16393
"938",2015,59113,78646,15902
"938",2016,61101,82062,17164
"938",2017,62093,83060,17255
"938",2018,63336,85196,17965
"938",2019,65258,86808,17710
"938",2020,69096,91220,18347
"938",2021,69568,91606,18383
"938",2022,72303,95381,19538
"938",2023,73982,98426,20929
"938",2024,77117,103072,22299
"938",2025,26504,35234,7538
