"cmaca","year","cases","recips","depchld"
"977",1995,10723,20951,8924
"977",1996,9045,18096,7935
"977",1997,8147,15383,6336
"977",1998,7698,13412,4937
"977",1999,8443,14879,5580
"977",2000,8317,15053,6019
"977",2001,8045,14143,5380
"977",2002,6260,10417,3717
"977",2003,4395,6929,2266
"977",2004,3726,5557,1588
"977",2005,3279,4771,1304
"977",2006,3029,4136,955
"977",2007,3406,4676,1090
"977",2008,3951,5526,1390
"977",2009,5151,7413,1978
"977",2010,5331,7634,2064
"977",2011,4791,6783,1796
"977",2012,4463,6111,1503
"977",2013,4371,6103,1579
"977",2014,4217,5560,1217
"977",2015,4607,6285,1533
"977",2016,5622,8031,2175
"977",2017,6214,9199,2792
"977",2018,6811,9979,2948
"977",2019,7780,11318,3280
"977",2020,9127,13204,3740
"977",2021,9556,13870,3884
"977",2022,10980,15926,4434
"977",2023,11650,16977,4846
"977",2024,13048,18981,5525
"977",2025,4687,6800,1978
