"cmaca","year","cases","recips","depchld"
"970",1995,78362,142576,56746
"970",1996,72072,130458,51798
"970",1997,63574,112166,42972
"970",1998,60596,106878,40545
"970",1999,61589,106661,39328
"970",2000,61681,105349,38576
"970",2001,62247,105329,38071
"970",2002,53381,88159,30641
"970",2003,41488,65914,21181
"970",2004,36503,57003,17701
"970",2005,34147,52339,15708
"970",2006,33703,50715,14490
"970",2007,34891,51543,14076
"970",2008,37687,55408,14917
"970",2009,44221,65000,17561
"970",2010,46938,69407,19238
"970",2011,46323,67375,18225
"970",2012,43317,61869,16000
"970",2013,42946,60787,15257
"970",2014,41898,58770,14372
"970",2015,42289,59278,14533
"970",2016,46297,65274,16541
"970",2017,48470,67943,17086
"970",2018,50329,70571,17773
"970",2019,52599,73966,18654
"970",2020,56911,78722,19156
"970",2021,57727,79590,19388
"970",2022,60917,84916,21484
"970",2023,63584,88450,22456
"970",2024,66488,91733,22770
"970",2025,22979,31756,7949
