"cmaca","year","cases","recips","depchld"
"930",1995,48962,93325,37868
"930",1996,50102,94860,38185
"930",1997,45898,84363,33144
"930",1998,44238,80903,31838
"930",1999,42142,75102,28665
"930",2000,42103,74241,28072
"930",2001,41733,72127,26224
"930",2002,36348,60375,20725
"930",2003,31316,50373,16433
"930",2004,30078,46620,14236
"930",2005,29027,43341,12147
"930",2006,28402,41067,10701
"930",2007,28976,40748,9937
"930",2008,30849,43209,10552
"930",2009,36640,51924,12825
"930",2010,40668,58053,14437
"930",2011,43339,61732,15084
"930",2012,43503,61403,14821
"930",2013,45013,63229,15178
"930",2014,46189,64312,15113
"930",2015,47689,66982,16187
"930",2016,49357,69662,17229
"930",2017,49856,69808,17025
"930",2018,51037,70781,16915
"930",2019,53595,75561,19034
"930",2020,57224,81283,21015
"930",2021,58276,82433,21051
"930",2022,61666,86602,21806
"930",2023,65562,91255,22632
"930",2024,71009,99472,25070
"930",2025,24726,34794,8883
