"cmaca","year","cases","recips","depchld"
"905",1995,19585,36685,14239
"905",1996,18136,33752,12894
"905",1997,15380,27619,10321
"905",1998,14309,25977,9830
"905",1999,13300,24380,9254
"905",2000,12198,21742,7986
"905",2001,12223,21324,7550
"905",2002,10778,17975,5960
"905",2003,9171,14588,4522
"905",2004,8238,12447,3461
"905",2005,7977,11749,3037
"905",2006,7699,11027,2642
"905",2007,7847,10788,2294
"905",2008,7774,10675,2250
"905",2009,9382,12915,2780
"905",2010,9755,13692,3271
"905",2011,9960,13741,3091
"905",2012,9812,13156,2734
"905",2013,9731,13014,2674
"905",2014,9934,13148,2555
"905",2015,10223,13340,2453
"905",2016,11240,15152,3231
"905",2017,11851,15835,3302
"905",2018,11790,15562,3175
"905",2019,12147,16035,3320
"905",2020,13053,17319,3635
"905",2021,13481,17780,3708
"905",2022,14500,19176,4088
"905",2023,15460,20433,4367
"905",2024,16199,21451,4616
"905",2025,5494,7155,1465
