"cmaca","year","cases","recips","depchld"
"925",1995,80318,144661,54392
"925",1996,72424,132089,50668
"925",1997,64763,114257,42065
"925",1998,57482,100041,36325
"925",1999,57585,98335,34361
"925",2000,58752,97861,32801
"925",2001,56692,92742,30440
"925",2002,46884,74149,23154
"925",2003,38103,58070,16857
"925",2004,35416,52408,14139
"925",2005,34988,50490,12977
"925",2006,34096,47896,11542
"925",2007,36185,49717,11236
"925",2008,39261,53114,11495
"925",2009,46220,62923,13868
"925",2010,49370,67443,15116
"925",2011,49777,67616,14984
"925",2012,47369,63074,13103
"925",2013,46174,60678,11914
"925",2014,46995,60930,11471
"925",2015,49462,64394,12387
"925",2016,53078,70143,14491
"925",2017,55466,73789,15748
"925",2018,56920,74352,14921
"925",2019,59883,77389,15019
"925",2020,63265,81331,15628
"925",2021,63188,81505,15904
"925",2022,65521,84508,16396
"925",2023,66942,86120,16816
"925",2024,69523,89781,17865
"925",2025,23900,30610,5905
