"cmaca","year","cases","recips","depchld"
"932",1995,81669,157618,64956
"932",1996,79635,155371,65090
"932",1997,72433,137713,56377
"932",1998,68153,127036,51083
"932",1999,64350,118043,46507
"932",2000,61758,112251,44024
"932",2001,58882,104536,39819
"932",2002,51892,88179,31482
"932",2003,43689,69898,22610
"932",2004,41460,63584,18897
"932",2005,39494,58428,16071
"932",2006,40612,57878,14418
"932",2007,44944,62901,15146
"932",2008,48753,67456,15859
"932",2009,56043,78020,18324
"932",2010,60524,84753,20303
"932",2011,63665,89374,21816
"932",2012,63336,89512,22535
"932",2013,63923,90154,22517
"932",2014,64953,90031,21382
"932",2015,66385,90886,20929
"932",2016,70613,96498,22381
"932",2017,73432,101619,24335
"932",2018,75172,104381,25383
"932",2019,79285,110366,27027
"932",2020,83572,116222,28608
"932",2021,85587,119426,29720
"932",2022,90825,127812,32595
"932",2023,98082,139887,36940
"932",2024,108060,156370,42277
"932",2025,37704,54595,14699
