"cmaca","year","cases","recips","depchld"
"933",1995,1234755,1976058,619316
"933",1996,1126664,1847410,603515
"933",1997,1017904,1644689,522862
"933",1998,940448,1510635,475209
"933",1999,866000,1384813,434182
"933",2000,821930,1300968,403399
"933",2001,805402,1250963,374398
"933",2002,731372,1103358,310562
"933",2003,632775,912093,231999
"933",2004,581433,808148,188482
"933",2005,544016,731819,155846
"933",2006,534700,700128,135456
"933",2007,557015,719560,132635
"933",2008,590760,758722,137754
"933",2009,664027,857423,158312
"933",2010,717528,929555,174723
"933",2011,739873,958116,180867
"933",2012,733762,947823,177009
"933",2013,739743,952046,174941
"933",2014,735133,939925,167888
"933",2015,742694,944284,164677
"933",2016,759404,968979,172198
"933",2017,770033,994081,184201
"933",2018,779836,1006176,186304
"933",2019,802144,1037354,193100
"933",2020,832748,1079521,202847
"933",2021,831843,1077999,202372
"933",2022,867203,1130712,215622
"933",2023,919576,1211978,236519
"933",2024,990709,1320532,265138
"933",2025,343008,460456,94334
