"cmaca","year","cases","recips","depchld"
"945",1995,13160,23396,8396
"945",1996,13251,23708,8557
"945",1997,11976,20347,6922
"945",1998,11264,18889,6271
"945",1999,11115,18506,6103
"945",2000,11152,18415,5876
"945",2001,11395,17977,5387
"945",2002,10332,16325,4898
"945",2003,9173,14164,3989
"945",2004,9088,13565,3575
"945",2005,8709,12741,3157
"945",2006,8100,11348,2480
"945",2007,8368,11220,2125
"945",2008,9164,12303,2375
"945",2009,10543,14241,2820
"945",2010,10936,15041,3188
"945",2011,11501,15394,3051
"945",2012,11392,15524,3238
"945",2013,11341,15582,3378
"945",2014,10967,14914,3126
"945",2015,10747,14680,3043
"945",2016,11328,15502,3282
"945",2017,11722,16316,3595
"945",2018,12032,16646,3692
"945",2019,12119,16537,3518
"945",2020,12591,17086,3535
"945",2021,12397,16566,3255
"945",2022,12904,17039,3224
"945",2023,13302,17581,3457
"945",2024,13269,17537,3488
"945",2025,4530,5961,1181
