"cmaca","year","cases","recips","depchld"
"937",1995,27861,53589,21652
"937",1996,27423,52879,21639
"937",1997,25014,47010,18663
"937",1998,23640,44219,17398
"937",1999,24107,43986,16849
"937",2000,25310,45387,17084
"937",2001,25705,45149,16492
"937",2002,23425,40557,14667
"937",2003,19866,33829,11973
"937",2004,18235,30226,10353
"937",2005,17487,28092,9095
"937",2006,16475,25563,7719
"937",2007,17051,25715,7200
"937",2008,17348,25599,6818
"937",2009,19242,28290,7438
"937",2010,20658,29598,7366
"937",2011,21617,30854,7592
"937",2012,21931,30835,7196
"937",2013,22652,32249,7811
"937",2014,22997,32012,7303
"937",2015,23860,33060,7519
"937",2016,25262,34962,8011
"937",2017,25616,35300,7950
"937",2018,25579,34983,7830
"937",2019,26278,35969,8157
"937",2020,27805,37893,8538
"937",2021,27564,37321,8263
"937",2022,28648,38991,8825
"937",2023,30029,40999,9424
"937",2024,32050,43835,10218
"937",2025,10949,14945,3495
