"cmaca","year","cases","recips","depchld"
"920",1995,7938,14930,5831
"920",1996,8147,15208,5978
"920",1997,7936,14582,5464
"920",1998,7661,13652,5003
"920",1999,7951,13876,4911
"920",2000,8452,14603,5158
"920",2001,8374,14485,5170
"920",2002,7590,12686,4285
"920",2003,6642,10352,3010
"920",2004,6550,9575,2353
"920",2005,6611,9468,2229
"920",2006,6226,8705,1992
"920",2007,6511,8854,1894
"920",2008,6958,9341,1965
"920",2009,8036,11000,2490
"920",2010,8796,12296,2989
"920",2011,8952,12196,2726
"920",2012,8361,11282,2485
"920",2013,7949,10546,2192
"920",2014,7663,10047,2110
"920",2015,7720,10220,2178
"920",2016,7806,10159,1989
"920",2017,8242,10546,1943
"920",2018,8360,10678,1946
"920",2019,8550,11036,2143
"920",2020,9046,11640,2211
"920",2021,9099,11544,2137
"920",2022,9385,11931,2213
"920",2023,9911,12748,2498
"920",2024,10427,13347,2548
"920",2025,3702,4729,890
