"cmaca","year","cases","recips","depchld"
"913",1995,30855,55361,20537
"913",1996,29944,53426,19674
"913",1997,27929,47824,16773
"913",1998,26662,44142,14868
"913",1999,26896,43996,14664
"913",2000,27363,44668,14917
"913",2001,26833,43432,14310
"913",2002,22897,35788,11003
"913",2003,19527,28468,7494
"913",2004,19062,26986,6456
"913",2005,18681,25641,5652
"913",2006,18055,23970,4660
"913",2007,18614,24844,4947
"913",2008,19547,26177,5329
"913",2009,22840,30718,6214
"913",2010,25353,34260,7242
"913",2011,25796,34824,7268
"913",2012,25499,33829,6611
"913",2013,25042,32520,5952
"913",2014,24909,31831,5430
"913",2015,24803,31203,4973
"913",2016,25434,32091,5300
"913",2017,25273,31659,5131
"913",2018,25759,32331,5359
"913",2019,27606,34456,5660
"913",2020,30011,37204,5902
"913",2021,30048,37260,5877
"913",2022,31690,39647,6558
"913",2023,32429,40610,6854
"913",2024,33413,41532,6970
"913",2025,11293,14098,2428
